Username,sentiment
FateIZRonin,0.400000006
FeBTecH050,0.200000003
Felix2flex,-0.300000012
FelixOs71474340,-0.400000006
FengJing12345,0
FergyZibby,0.200000003
FetiNure,0.300000012
FharuqIbrahim,0.200000003
Fidamuh35824021,0.300000012
FinssoIndia,0.100000001
FitriWear,0.300000012
FlahaObieda,0
FlanneryElise,-0.100000001
FlashReynolds,0.100000001
Foo_PHighter,0.300000012
FrankCh21423577,0.300000012
Frank_w_14,0.400000006
Frankie78151303,-0.300000012
Franknikky2,-0.300000012
FrazJimi,0.800000012
FrdricNaudin1,0
FredMcHale2,-0.100000001
FrudentS,0.5
FutureTouchsa2,0.899999976
GB_BethDeCo,0.5
GGizky,0.899999976
GO1FSHN,0.200000003
GOODBYEPETROL,-0.100000001
GRavanaaaAaaa,-0.100000001
GSWMuse,0
GabeAstra,-0.200000003
GabzGroove,-0.200000003
Gadget_judge,0.100000001
GaliTijjaniMus2,0.300000012
GambitSteel,-0.300000012
GamingjajaH,0
Gandy813,0.5
Gareth_Baines,0
GaryMar00002679,-0.400000006
Garywaynemart16,0.100000001
GatewoodKi,0
Gauldengirl,0.300000012
Gauravchandraa,-0.100000001
Gauravverified,0
GayStonerTyler,0
Gcorise,0.300000012
Gebilao81149678,0.699999988
Gemely_14,0
GeorgeOConnor1,0.600000024
GestiLucky,0.600000024
GetDox,-0.400000006
GhPounds6,0
GhijsensRudi,0
GilSavannah,0
GiltedGoose,0.100000001
GingerMeGlam,0.300000012
GiniSanjines,0.600000024
GioR04248585,-0.100000001
Giorgio59500195,-0.800000012
Giridha22586301,0.300000012
GirishSeeburru1,0
GodSent5566,0
Goingmy91072891,0.400000006
GoleanH,0.300000012
Goodbye89412837,0
Google_2006012,0
Gorillawolfmfka,0.200000003
GottsaGoFast,0.100000001
Gr8Sx69,-0.100000001
Greeneyedbeenaa,0.5
GrigoreMakari,0.300000012
GromerMisha,0
GroupRlab,0.100000001
Growingleo19,-0.200000003
Grumpa07,0.400000006
Gruse111,0.400000006
GulshadAlam8,-0.5
GuzmanGybram,0.100000001
GyusziCsaszar,0
H0T_P0CK37Z,0
H77bob,0
HAZEM__LORD,0
HB3COLT40GVn8Yg,-0.100000001
HENNNwithGalaxy,0.100000001
HMbawuike,0
Habib_Aslam_,0
HalimahHasan18,0.300000012
Hameedsanjrani,-0.200000003
HammesAndrew,0.600000024
HamoonVahedi,0.400000006
Hamuzah211,-0.100000001
HamzaAkbar143,0.200000003
HamzaGillani10,-0.5
HananSu69747478,0.300000012
HannaLiez,0
Hanoon43596892,0.300000012
HanyYasmine,0.300000012
HarisDreamsBig,-0.100000001
HarunaAkuHarun1,-0.200000003
HauptKen,0.100000001
HayesKarris,-0.300000012
Heather61139272,0.300000012
Heedaayaah1,0
Heidi_Reyes25,0.300000012
HemkcB,0.200000003
HendrenSam1,0
HenryBreidy,0
HerbalTears,0.5
Hercres69,0.300000012
HeyLookItzLeonz,0.200000003
Hezekiah_joba,-0.400000006
HilzFuld,0.100000001
HisLilBirch15,0.100000001
Hitesh_Rathod_,0.300000012
Holtzys18,0.200000003
HomeRich26,0
Hopeful2morrow,0.300000012
HorribleGabe,-0.600000024
Hosa25041666,-0.100000001
HouseOfGab,-0.200000003
HuanRauFishing,0.100000001
HubGuidance,0.100000001
HunterBurkhart3,-0.200000003
HunterTwells,0.100000001
Hussein94141334,0.300000012
I319988501,-0.300000012
IDoKnowNothing1,0
IM_Tahmim,0
IWoutta,0.300000012
IamCK_Shae,-0.200000003
Iamfun666,-0.100000001
Ibrahim68602139,0
Ifedinaboi,-0.200000003
Ifunanyaic,0.100000001
IkeTochukwuCle3,0.400000006
IlhamyasyaD,-0.800000012
ImPrinceParker,0.300000012
Im_thahirzaman,0.100000001
Indigo_RW,-0.300000012
InfinetlyOmega,0
Ing3Dx,0.300000012
IngAlexBV10,0
Inioluw29401785,-0.100000001
IowaChick12,
IrwanKomara5,0.100000001
IsaBashir18,0.300000012
IsaiahT70526172,0.200000003
Ismailkabirisa1,-0.200000003
IsraelMachaen,0.5
Israphd1,
IsrarAraiz,-0.800000012
Issahakuhamza2,0.600000024
ItelYangchen,0.800000012
ItssJonielC99,0.100000001
JANNAH_TUBE,0.200000003
JAVIERRENDONJR_,0.400000006
JBamberVI,0
JEVIC662278002,-0.200000003
JJRedwings,0.300000012
JLRoy10,-0.200000003
JMacRocks04,0
JScottke2,-0.699999988
JSocorro92,0.400000006
JYC_Kitchen,0.100000001
JYingW1,0.100000001
Jacksx28,-0.100000001
Jacob73944798,0.899999976
Jadejones2014,0.800000012
Jadouh4,0.100000001
JadynBellTowns1,0.200000003
JagaLilinWin,0.300000012
Jaime240969,-0.100000001
JakeHig95643697,0.100000001
JalaludeenJibu,-0.100000001
James_Nyondo6,-0.200000003
Jameskirkup14,0.400000006
JamieBlake7,-0.200000003
JamieJBeauchamp,0.400000006
Jamillucky,0
Jane95592135,0.5
JanePappas4,-0.300000012
JanetGiuffrida,0
JarvisDiegoHun4,0
JaxKimber,0.400000006
Jay41309633,0.100000001
JayShort92,0
JaydeepSutar5,-0.600000024
JaylynnCanady,0.400000006
JayneOhio,0.400000006
Jayu_7_bts,0.5
Jaztes11,0
Jdj31210Jay,-0.699999988
Jean27076607,0.200000003
JeanAlready,0.400000006
JedThom69103545,0
Jefferson071017,0
JemimahGamponia,0.5
JenniferRuble7,0.5
JennyEngel,0.400000006
JennyJarzo,0.400000006
JeremyWolsten,0.300000012
Jerry96771263,-0.699999988
Jessmichellee11,0.400000006
JesusPrudenci15,0
Jeteme18Jean,-0.5
Jhans0511,0.100000001
Jill_Andujar,0.200000003
JimenezMarko,0.100000001
Jimmy9367,0.300000012
Jingbin_Shi,0.300000012
Jivey727,0
JkJulie007,0.400000006
Joalananderson,-0.200000003
JoeSilv82680168,-0.800000012
JoelM0731,0.300000012
John54609277,-0.200000003
John59769968,0.600000024
JohnBishopSr1,0.300000012
JohnCenteno13,0.300000012
JohnDoe95165615,-0.100000001
JohnYanni1970,0.5
JohnnyH91059327,0.300000012
JojoKemz,-0.400000006
Joker_zida,0.300000012
Jona_WOS,0
Joni94206703,0.600000024
JoonyAshk2,0.899999976
Jordan423j,0.300000012
JorgeC4rmldotx,0
Jose64927355,0.400000006
JoseHenriques__,0.899999976
Joseher48120408,0
JosephA22037427,0.5
JoshWells1994,-0.300000012
JoshuaLipply,-0.400000006
JoshuaWP1980,-0.300000012
JosueCh321,0.800000012
Jowie4ev3r,-0.300000012
JozzyRox,0.899999976
JuanCee69,0.100000001
JudyWaterfield,0.300000012
Juiceknuckle,-0.100000001
JulexCaesar,0.600000024
JulianWan7,-0.400000006
JungHosu2109997,0.899999976
JustNOYBIt,0
K0FRED,0.699999988
K86207140Yamete,-0.200000003
KARMANN7314,0.300000012
KCConnorH,0.200000003
KER_0LS,0.300000012
KESHAVG8520,0.300000012
KHALEEL3313,0.300000012
KK2LefgEJNDGnVi,0.200000003
KPJ207,0
KTaxiro,-0.300000012
KYD902,0.899999976
KaKorbar,0.100000001
KademoJ,0.300000012
KageKabil,0.300000012
Kaishou15243,0.100000001
KalajkingM,0.100000001
Kalismart13,0
KasderGurusinga,0.100000001
KashniyalM,0.200000003
KatelynnMM1998,0.200000003
KatherineC1231,0.100000001
KatiaSa66395901,0.800000012
Katie_jo838,0.200000003
KatoAmos17,0.400000006
Kattann0221,0.400000006
KatugaRashid1,0
KavemanKao,-0.200000003
Kddaniels,0.5
KeciaBuczek,0.400000006
Keedy9Madison,0.300000012
KeenSizemore,0.600000024
KeithCo84016748,0.400000006
KeithWheeler14,0.400000006
Kellan_Fuck98,0.200000003
KellyAnn8888,0.300000012
Kelly_K_Kelly,0
Kellz_Ward,-0.400000006
KelseyKindell,0
KenaBublitz2,0.400000006
KennyC813,-0.400000006
KetanSAhiwale1,0.300000012
KeylaGutirrez19,-0.100000001
KeyzConstant,0.800000012
KhadarMoha5,0.300000012
Khaled_jkz,0.200000003
KhanZamiri,0.400000006
Khasib_,-0.300000012
Khushha48864508,0.400000006
KillerQueenMb1,0.400000006
KillersinghQ,0.300000012
Kim2021_12_16,0.100000001
Kimberlilies,0.5
KimberlyPirri,0
KimfebiRyan,0.200000003
KimmiB777,0.200000003
KingCur97959447,0.600000024
King_Ogre,0
Kingken87933031,0.400000006
Kingsley_KafuiD,0
KirbsTheFox,0
KithomeDancun,0.300000012
KloudHub,0.800000012
KmsaaJat,0
KndiMr,0.200000003
KnotPasser,0.100000001
Knunez82402,0.400000006
Ko10Oussama,0.300000012
Kor3anP3ninsu1a,0.300000012
KrayerShelley,0.400000006
Kris24Catch,0
KrishnaArthiv,0
KristiArens1,0.5
Kualitybookief,0.5
KuhnMoritz,0.400000006
KumwendaJason,-0.100000001
Kunal_KA,0
KurillJ,-0.5
Kweku1436,-0.300000012
Kworker6,0.800000012
L3xizR,0.800000012
LEOPIERSON2,0.5
LFBMOLANO,0
LJeamito,0.300000012
LLastbone,0.200000003
LMcleod75056507,0.800000012
LPH1207,-0.200000003
LTFLOSS,0.100000001
LaNanaFabulous,0.600000024
LadislavKuera15,0.300000012
LadyCryptox,0
Larean1,0.400000006
LassooRue,0.400000006
LatrecheNadji21,0
LaubCynthia,0
LaurenButowsky,0
LaurenW63145049,0.400000006
Lawrenc30597984,0
Layth999999,0
LeaftyMckenzie,0.400000006
LeeHudson93,0.100000001
LeeRoyLookinBoy,0
LegendDaddy7,0
Leon8273,0.300000012
Leonard3Arch,0.300000012
LeslieDias10,0.400000006
LetsGoRo_,-0.100000001
LexiPaie,0.300000012
LezzygirlP,0.300000012
LheoBriones,0
Lies72188343,0.899999976
LilDevault,0.5
Lillian13bk,0
LindaAlsdorf,0.600000024
LindaCa12158453,0.400000006
LisaMui06121607,0.300000012
Lisacbeery,-0.200000003
Living2love333,0.300000012
LizPhilippou,0.699999988
Longtim66,-0.699999988
LordPiry,0
LostWaffle83,0.899999976
LouiesCheckMate,0.300000012
LouisMercantin2,-0.100000001
LoveGod98693515,
Loveshelties2,0.600000024
Lowjike,-0.400000006
LuVald__,0.699999988
LucasKaki,0.600000024
Luckysniper080,0
Luckyyygal,0.400000006
LugiePats,0.699999988
LukeBeyers4,0.400000006
Lunakudjak24,0.100000001
LusianaaDwi,0.300000012
LyndsayBishop16,0.600000024
LynserBynserBoo,0.100000001
Lyolja_13,0.100000001
MADWALK02,0.400000006
MDFiroz55408169,0.300000012
MKingdefren,0.400000006
MLehman11,0.400000006
MM14806854,0.300000012
MMH77390053,0.400000006
MOH_Almasry1,0.300000012
MRWICKETT,-0.200000003
MRpinkdudeusa,-0.600000024
MSANJUM14031987,0
MSG__Lover,-0.5
MSJQuarterHorse,0.100000001
MSMA331,0.100000001
MSanthoshmon,0
MWaytenick,0.200000003
MYLILSAAB,0.5
M_Miyanawala,0
M_MohsinHamidi,-0.200000003
Ma36603605Julie,0.699999988
MaddysBigHit,0.300000012
MagnusDawson1,0
Mahdoosen,-0.400000006
MaheMona,0.5
Maher3sm69,-0.300000012
MaherGSoliman,0.300000012
Mahmood87584100,0.100000001
MahmoudHEzz,0.300000012
MahongyiMichael,0.600000024
MahreezD,0.300000012
MajovskyJohn,0.300000012
MalakMo62098471,
Malam_Zusky,-0.100000001
Malin86889479,0.800000012
MalletsForDays,-0.100000001
MallouhMo,0.5
Mamabear0605,0.100000001
Mamabrat420,0.200000003
Mamadi_msh,0.100000001
Manan69378934,0
ManjuVa37473267,0.800000012
ManojKu02139639,-0.100000001
ManuMenGag,0.400000006
MarcMazloum123,0
Marcelo32476771,0.400000006
Marcossauriogrr,0.200000003
MarcyandTayler,0
Margare83254352,0.5
MargoDemasi,0.5
MariaPSparkles,0
MariaSt35636527,-0.5
Mariano18840519,0.200000003
Maribelg915,0.400000006
MarioOfficialSA,0
Mark2Sanda,0
MarkJoren9,
MarkTheHero08,0.300000012
MarkWoody6451,0.899999976
Markonah423,0.5
MarrittAlex,0.800000012
Marsh_Mayor3,0.200000003
Martin09102167,-0.200000003
MarufHossen5566,0.200000003
MarvinIngalla,
MaryGoelz2,-0.200000003
MarySonger1,0.300000012
Masroori5,0.200000003
Master29324947,-0.800000012
MattyG8Design21,0
MattyIc333,0.400000006
Mattyb_717,-0.200000003
Mavado_1996,0
Max57Mix,0.200000003
MaxxPayne6423,-0.300000012
Mcturk9,0.400000006
MediaBunnie,-0.100000001
Mehboob1433,0.899999976
MelindaMatherne,0.699999988
MelissaCambor1,-0.200000003
MelissaDarrow,0.5
Mellgbab,0.200000003
Melody0107,0
MerahPutih_100,0.699999988
MercuryReborn22,0.300000012
MerlinBacha,-0.300000012
MhdMekki,0.200000003
MianMuh31728532,0.600000024
Michael26550161,-0.100000001
MichaelMonagh1,0.600000024
MichalVNT,0.300000012
Michell36950275,0.5
MidodziKwaku,-0.5
MiguelBlue21,0.200000003
MiguelGomezGa19,-0.200000003
Mike27383600,0
Mikey41103747,
Milagro00978276,0.100000001
Minchunkiss,0.300000012
Mindful84975977,-0.600000024
Minho_20170411,0
Mints_1200,0.400000006
Misshuddleston8,0.400000006
MissouriMcCune,0.400000006
Missy02682258,0.5
MitchMitch,0.200000003
MithonaLoeung,0.300000012
MixMaruin,0.200000003
MizKit00,0.400000006
Mo_Manhimself,0
Mobilinze,0.300000012
MocarroDiana,0.899999976
ModeHany3,0.200000003
Moeseech,-0.200000003
Mohamed10621202,0
Mohamed66847911,0.300000012
MohamedSaidd16,0.300000012
Mohamma26912112,0
Mohammad__AM9,0.200000003
Mohamme84151093,0.200000003
Mohammedmajah,0.400000006
MohdAha51704574,-0.5
MohdMainuddin2,-0.100000001
MomLuvsSPORTZ,0.400000006
Momovalverde9,0.300000012
Mondia,0.100000001
MoniryanRyan,0.200000003
Monoton01083037,-0.5
Monroebee861,0.899999976
Montsr99,0.300000012
