,Username,sentiment
200,DQ_Dragon,
201,DQ_X_RACCO,
202,DQ_X_SEABASS,
203,DRMOHMM51640316,
204,DSangchai,
205,DSoleSurvivor,
206,DYRNU_CA,
207,DaddyMyco1991,
208,DagarguliaGoga,
209,DaisyZulu2,
210,DamienRL1972,
211,Daniel90419023,
212,DanielAndrews64,
213,DanishDanesh,
214,DannyC397,
215,Dany_12Esquivel,
216,DarescuMarius,
217,DarkSeedX,
218,DarrellRyle,
219,DashaTa91868718,
220,Dashraf101,
221,Dave71460927,
222,DavidBernalRuiz,
223,DavidGnuEC,
224,Davidkhual1989,
225,Deeniekuf,
226,DeepanshuDuggal,
227,Deepu60378722,
228,Degiro101,
229,Delfinaci1337,
230,Delroy74836038,
231,DerSchleich,
232,Dev_Hills_,
233,Devki_national,
234,DhahranRankin,
235,DianaACosma,
236,DiegoSM1986,
237,DierickxJeroen,
238,Dioguin92,
239,DipaardiH,
240,DogeVinoth,
241,DonnaBr05618769,
242,DoreathaLiska,
243,Dr_conglo,
244,Dre8516,
245,Duisburger47169,
246,DulceMariia1992,
247,DunamisClement1,
248,Dutchman647,
249,DwinCrypto,
250,DyslexicConnect,
251,EG_ROOTS,
252,EKalathur,
253,EVE_twins,
254,EYT_34_MURAT,
255,EdcarlosBarbo15,
256,EdgarPeuela7,
257,Edison111222,
258,EduMaciel19,
259,EdwardL20557835,
260,Edwardstarmoon,
261,EdwinaP76714439,
262,Eeric_Chatmon,
263,EhtishamChoudh8,
264,EkvbgJDOY0sdjhd,
265,Elenafutkaradze,
266,EliteBoy01,
267,Elmrabet_Abde,
268,EmanuelAmaya8,
269,EmilyKilmer5,
270,Emmanue82445119,
271,EnesGnd43380285,
272,Envirolife4,
273,Epilefvasil,
274,ErShivam89,
275,ErSurajBhan,
276,Erhardgutreden,
277,EshwarPkt,
278,EspinoEdd,
279,Esuper33377777,
280,EtJourneman,
281,EthenDavis2004,
282,EvandroCalanca,
283,FABENDERJanChr1,
284,FAROCURI,
285,FShahabeddin,
286,FTgh6X96vSR4TWh,
287,FahadIbnShahid,
288,FaheemPanhyar,
289,FaizShahnawaz1,
290,FardeenFKhan,
291,FarizAbdulAziz7,
292,FaroukBenAyoub,
293,FedUPGrandmaNY,
294,FelipeM83740420,
295,FengJing12345,
296,Fenicelettronic,
297,Feralucha,
298,Fetko13,
299,FilippoPandin,
300,FirmanAndree,
301,Floyderwagen,
302,Flufy02178527,
303,FlyGues,
304,Fq5rYUKehv0au0O,
305,FranCudina,
306,Francoperona1,
307,FrantzGucci1,
308,Frederi00933344,
309,FreeMeFreeWorld,
